college_id,num_reviews
1,115
2,233
3,62
4,126
5,101
6,81
7,45
8,20
9,119
10,35
11,17
12,15
13,47
14,18
15,45
16,14
17,20
18,31
19,7
20,5
21,3
22,67
23,19
24,121
25,42
26,89
27,252
28,113
29,95
30,171
32,110
33,93
34,174
35,71
36,53
37,71
38,15
39,58
40,11
41,5
42,2
43,3
44,5
45,68
46,12
47,77
48,20
49,59
50,3
51,109
52,72
53,26
54,126
55,19
56,11
57,54
58,27
59,49
60,12
61,20
62,11
63,16
64,11
65,47
66,2
67,5
68,4
69,0
70,3
71,17
72,1
73,2
74,6
75,0
76,14
77,3
78,6
79,3
80,74
81,26
82,20
83,327
84,321
85,69
86,386
87,59
89,12
90,208
91,65
92,62
93,1
94,364
95,73
96,316
97,674
98,6
99,233
100,48
101,36
102,35
103,125
104,1
105,313
106,165
107,67
108,26
109,4
110,20
111,9
112,56
113,91
114,133
115,40
116,19
117,107
118,85
119,605
120,56
121,61
123,137
124,44
125,54
126,110
127,94
128,52
129,20
130,52
131,25
132,54
133,111
134,91
135,62
136,66
137,4
138,28
139,2
140,161
141,88
142,187
143,363
144,86
145,39
146,73
147,27
148,56
149,170
