college_id,college_name_1,college_name_2,college_name_3,college_name_4
1,IIT Bombay,Indian Institute of Technology Bombay,,
2,IIT Delhi,Indian Institute of Technology Delhi,,
3,IIT Madras,Indian Institute of Technology Madras,,
4,IIT Kanpur,Indian Institute of Technology Kanpur,,
5,IIT Kharagpur,Indian Institute of Technology Kharagpur,,
6,IIT Roorkee,Indian Institute of Technology Roorkee,,
7,IIT Guwahati,Indian Institute of Technology Guwahati,,
8,IIT Hyderabad,Indian Institute of Technology Hyderabad,,
9,IIT BHU,Indian Institute of Technology Banaras Hindu University Varanasi,,
10,IIT Indore,Indian Institute of Technology Indore,,
11,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,,
12,IIT Ropar,Indian Institute of Technology Ropar,,
13,IIT Patna,Indian Institute of Technology Patna,,
14,IIT Mandi,Indian Institute of Technology Mandi,,
15,IIT Jodhpur,Indian Institute of Technology Jodhpur,,
16,IIT Tirupati,Indian Institute of Technology Tirupati,,
17,IIT Palakkad,Indian Institute of Technology Palakkad,,
18,IIT Bhilai,Indian Institute of Technology Bhilai,,
19,IIT Jammu,Indian Institute of Technology Jammu,,
20,IIT Dharwad,Indian Institute of Technology Dharwad,,
21,IIT Goa,Indian Institute of Technology Goa,,
22,IIT Dhanbad,Indian Institute of Technology Dhanbad,IIT ISM Dhanbad,Indian Institute of Technology Indian School of Mines Dhanbad
23,IIT Bhubaneswar,Indian Institute of Technology Bhubaneswar,,
24,NIT Trichy,National Institute of Technology Tiruchirappalli,,
25,NIT Surathkal,National Institute of Technology Karnataka Surathkal,,
26,NIT Warangal,National Institute of Technology Warangal,,
27,NIT Rourkela,National Institute of Technology Rourkela,,
28,NIT Calicut,National Institute of Technology Calicut,,
29,NIT Allahabad,Motilal Nehru National Institute of Technology Allahabad,Motilal Nehru National Institute of Technology Allahabad Prayagraj,
30,NIT Jaipur,Malaviya National Institute of Technology Jaipur,,
31,NIT Kurukshetra,National Institute of Technology Kurukshetra,,
32,NIT Durgapur,National Institute of Technology Durgapur,,
33,NIT Silchar,National Institute of Technology Silchar,,
34,NIT Hamirpur,National Institute of Technology Hamirpur,,
35,NIT Jamshedpur,National Institute of Technology Jamshedpur,,
36,NIT Patna,National Institute of Technology Patna,,
37,NIT Raipur,National Institute of Technology Raipur,,
38,NIT Srinagar,National Institute of Technology Srinagar,,
39,NIT Agartala,National Institute of Technology Agartala,,
40,NIT Meghalaya,National Institute of Technology Meghalaya,,
41,NIT Arunachal Pradesh,National Institute of Technology Arunachal Pradesh,,
42,NIT Nagaland,National Institute of Technology Nagaland,,
43,NIT Mizoram,National Institute of Technology Mizoram,,
44,NIT Sikkim,National Institute of Technology Sikkim,,
45,NIT Uttarakhand,National Institute of Technology Uttarakhand,,
46,NIT Manipur,National Institute of Technology Manipur,,
47,NIT Andhra Pradesh,National Institute of Technology Andhra Pradesh,,
48,NIT Goa,National Institute of Technology Goa,,
49,NIT Delhi,National Institute of Technology Delhi,,
50,NIT Puducherry,National Institute of Technology Puducherry,National Institute of Technology Puducherry Karaikal,
51,NIT Jalandhar,Dr B R Ambedkar National Institute of Technology Jalandhar,,
52,NIT Bhopal,Maulana Azad National Institute of Technology Bhopal,,
53,NIT Surat,Sardar Vallabhbhai National Institute of Technology Surat,,
54,NIT Kurukshetra,National Institute of Technology Kurukshetra,,
55,IIIT Hyderabad,International Institute of Information Technology Hyderabad,,
56,IIIT Bangalore,International Institute of Information Technology Bangalore,,
57,IIIT Allahabad,Indian Institute of Information Technology Allahabad,,
58,IIIT Gwalior,Indian Institute of Information Technology Gwalior,Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior,
59,IIIT Jabalpur,Indian Institute of Information Technology Jabalpur,PDPM Indian Institute of Information Technology Design and Manufacturing Jabalpur,
60,IIIT Kancheepuram,Indian Institute of Information Technology Kancheepuram,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,
61,IIIT Pune,Indian Institute of Information Technology Pune,,
62,IIIT Nagpur,Indian Institute of Information Technology Nagpur,,
63,IIIT Bhopal,Indian Institute of Information Technology Bhopal,,
64,IIIT Ranchi,Indian Institute of Information Technology Ranchi,,
65,IIIT Kota,Indian Institute of Information Technology Kota,,
66,IIIT Surat,Indian Institute of Information Technology Surat,,
67,IIIT Vadodara,Indian Institute of Information Technology Vadodara,,
68,IIIT Bhagalpur,Indian Institute of Information Technology Bhagalpur,,
69,IIIT Agartala,Indian Institute of Information Technology Agartala,,
70,IIIT Una,Indian Institute of Information Technology Una,,
71,IIIT Sonepat,Indian Institute of Information Technology Sonepat,Indian Institute of Information Technology Sonipat,
72,IIIT Kottayam,Indian Institute of Information Technology Kottayam,,
73,IIIT Tiruchirappalli,Indian Institute of Information Technology Tiruchirappalli,,
74,IIIT Dharwad,Indian Institute of Information Technology Dharwad,,
75,IIIT Raichur,Indian Institute of Information Technology Raichur,,
76,IIIT Manipur,Indian Institute of Information Technology Manipur,,
77,IIIT Kalyani,Indian Institute of Information Technology Kalyani,,
78,IIIT Naya Raipur,Indian Institute of Information Technology Naya Raipur,Dr Shyama Prasad Mukherjee International Institute of Information Technology Naya Raipur,
79,IIIT Sri City,Indian Institute of Information Technology Sri City,,
80,BITS Pilani,Birla Institute of Technology and Science Pilani,,
81,BITS Goa,Birla Institute of Technology and Science Goa,BITS Pilani Goa Campus,
82,BITS Hyderabad,Birla Institute of Technology and Science Hyderabad,BITS Pilani- Hyderabad Campus Hyderabad,
83,VIT Vellore,Vellore Institute of Technology Vellore,,
84,VIT Chennai,Vellore Institute of Technology Chennai,Vellore Institute of Technology Chennai Campus,
85,VIT AP,Vellore Institute of Technology Andhra Pradesh,VIT-AP University Amaravati,
86,SRM KTR,SRM Institute of Science and Technology Kattankulathur,SRM Institute of Science and Technology Chennai,
87,SRM AP,SRM University AP Amaravati,,
88,Manipal Institute of Technology,Manipal Institute of Technology,Manipal Institute of Technology Manipal,
89,Amrita Vishwa Vidyapeetham,Amrita Vishwa Vidyapeetham Coimbatore,,
90,Thapar University,Thapar Institute of Engineering and Technology Patiala,,
91,LNMIIT Jaipur,The LNM Institute of Information Technology Jaipur,LNM Institute of Information Technology Jaipur,
92,Shiv Nadar University,Shiv Nadar University Greater Noida,,
93,UPES Dehradun,University of Petroleum and Energy Studies Dehradun,,
94,Chitkara University,Chitkara University Punjab,Chitkara University Patiala,Chitkara University Institute of Engineering and Technology Jhansla
95,Amity Noida,Amity University Noida,,
96,KIIT Bhubaneswar,Kalinga Institute of Industrial Technology Bhubaneswar,,
97,LPU,Lovely Professional University Phagwara,,
98,NMIMS Mumbai,Narsee Monjee Institute of Management Studies Mumbai,,
99,Christ University,Christ University Bangalore,,
100,Symbiosis Pune,Symbiosis Institute of Technology Pune,,
101,COEP Pune,College of Engineering Pune,COEP Technological University Pune,
102,VJTI Mumbai,Veermata Jijabai Technological Institute Mumbai,,
103,Jadavpur University,Jadavpur University Kolkata,,
104,Anna University,Anna University Chennai,,
105,DTU,Delhi Technological University Delhi,,
106,NSUT,Netaji Subhas University of Technology New Delhi,,
107,PEC Chandigarh,Punjab Engineering College Chandigarh,PEC University,Punjab Engineering College University of Technology Chandigarh
108,IISc Bangalore,Indian Institute of Science Bangalore,,
109,Nirma University,Institute of Technology Nirma University Ahmedabad,,
110,DAIICT,Dhirubhai Ambani Institute of Information and Communication Technology Gandhinagar,,
111,ICT Mumbai,Institute of Chemical Technology Mumbai,,
112,BMS College of Engineering,BMS College of Engineering Bangalore,,
113,MSRIT,Ramaiah Institute of Technology Bangalore,,
114,PES University,PES University Bangalore,,
115,RVCE,RV College of Engineering Bangalore,,
116,MIT Pune,Maharashtra Institute of Technology Pune,Dr Vishwanath Karad MIT World Peace University Pune,
117,IEM Kolkata,Institute of Engineering and Management Kolkata,,
118,Heritage Institute of Technology,Heritage Institute of Technology Kolkata,,
119,Galgotias University,Galgotias University Greater Noida,,
120,Jaypee Noida,Jaypee Institute of Information Technology Noida,,
121,IIEST Shibpur,Indian Institute of Engineering Science and Technology Shibpur,,
122,SGU Gurugram,,,
123,AKGEC,Ajay Kumar Garg Engineering College Ghaziabad,,
124,YMCA Faridabad,Yeshwantrao Chavan College of Engineering Nagpur,,
125,NITTE Meenakshi,Nitte Meenakshi Institute of Technology Bangalore,,
126,RNSIT,RNS Institute of Technology Bangalore,,
127,SASTRA University,Sastra Deemed University Thanjavur,Shanmugha Arts Science Technology Research and Academy Thanjavur,
128,PSG Tech,PSG College of Technology Coimbatore,,
129,Thiagarajar College of Engineering,Thiagarajar College of Engineering Madurai,,
130,Vel Tech,Vel Tech Rangarajan Dr Sagunthala R and D Institute of Science and Technology Chennai,,
131,Saveetha Engineering College,Saveetha Engineering College Chennai,,
132,KLE Tech,KLE Technological University Hubli,KLE Institute of Technology Hubli,KLE Technological University Hubballi
133,Dayananda Sagar,Dayananda Sagar College of Engineering Bangalore,,
134,NMAMIT,Nitte Meenakshi Institute of Technology Manipal,NMAM Institute of Technology Karkala Taluk,
135,MIT Manipal,Manipal Institute of Technology Manipal,,
136,REVA University,REVA University Bangalore,,
137,SRIT,Sri Ramakrishna Institute of Technology Coimbatore,,
138,SNU Chennai,Shiv Nadar University Chennai,,
139,UPES,University of Petroleum and Energy Studies Dehradun,,
140,Graphic Era,Graphic Era University Dehradun,,
141,DIT University,DIT University Dehradun,,
142,Bennett University,Bennett University Greater Noida,,
143,GLA University,GLA University Mathura,,
144,HBTU Kanpur,Harcourt Butler Technical University Kanpur,,
145,UIET Chandigarh,University Institute of Engineering and Technology Chandigarh University Chandigarh,University Institute of Engineering and Technology Panjab University Chandigarh,
146,BIT Mesra,Birla Institute of Technology Mesra,,
147,Tezpur University,Tezpur University Tezpur,,
148,Assam Engineering College,Assam Engineering College Guwahati,,
149,SRM Institute of Science and Technology NCR Campus Ghaziabad,SRM Institute of Science and Technology NCR Campus Ghaziabad,,
